date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:34	70792/70792	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202020%2013:26:14%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html	(from )
09:21:34	2170/2170	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Jan%202021%2002:21:36%20GMT	https://demos.creative-tim.com/robots.txt		(from )
09:21:36	4976/4976	---M--	200	added ('OK')	image/png	etag:%225e3ac276-1370%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/brand/favicon.png	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/img/brand/favicon.png	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:36	9015/9015	---M-Z	200	added ('OK')	text/css	etag:W/%225e3ac276-2337%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/nucleo/css/nucleo.css	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/nucleo/css/nucleo.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:36	57180/57180	---M-Z	200	added ('OK')	text/css	etag:W/%225e3ac276-df5c%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:36	122179/122179	---M--	200	added ('OK')	image/jpeg	etag:%2204e7beac14a725b525f43092c9c50bb7%22	https://s3.amazonaws.com/creativetim_bucket/products/137/original/opt_adp_thumbnail.jpg	C:/My%20Web%20Sites/argon/s3.amazonaws.com/creativetim_bucket/products/137/original/opt_adp_thumbnail.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:36	5222/5222	---M-Z	200	added ('OK')	text/css	etag:W/%225e3ac276-1466%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-bs4/css/dataTables.bootstrap4.min.css	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-bs4/css/dataTables.bootstrap4.min.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:36	3495/3495	---M-Z	200	added ('OK')	text/css	etag:W/%225e3ac276-da7%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-buttons-bs4/css/buttons.bootstrap4.min.css	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-buttons-bs4/css/buttons.bootstrap4.min.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:37	4154/4154	---M-Z	200	added ('OK')	text/css	etag:W/%225e3ac276-103a%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-select-bs4/css/select.bootstrap4.min.css	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/vendor/datatables.net-select-bs4/css/select.bootstrap4.min.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
09:21:37	389243/389243	---M-Z	200	added ('OK')	text/css	etag:W/%225e3ac276-5f07b%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min.css?v=1.2.0	C:/My%20Web%20Sites/argon/demos.creative-tim.com/argon-dashboard-pro/assets/css/argon.min5438.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/tables/datatables.html)
